id,title,url,orig_caption,gen_caption,orig_sentiment,gen_sentiment,object_counts
0,"‘Kamala Harris, Joe Biden ignored Hindus’: Donald Trump condemns violence against minorities",https://www.hindustantimes.com/world-news/us-news/kamala-joe-ignored-hindus-donald-trump-condemns-violence-against-minorities-vows-to-protect-hindus-in-us-101730397858337.html,Republican presidential nominee and former U.S. President Donald Trump(REUTERS),a man in a vest and vest standing at a podium,"{'label': 'POSITIVE', 'score': 0.9031782746315002}","{'label': 'POSITIVE', 'score': 0.9959518909454346}","{'person': 10, 'laptop': 1, 'tie': 1}"
1,Hamas releases video of US-Israeli hostage pleading for Donald Trump's help,https://www.hindustantimes.com/world-news/hamas-releases-video-of-us-israeli-hostage-pleading-for-donald-trumps-help-101732991321900.html,"Edan Alexander, 20, was abducted to Gaza during the Oct. 7, 2023 attack by Hamas on southern Israel.(@HenMazzig)",a man in a black jacket,"{'label': 'NEGATIVE', 'score': 0.9847145676612854}","{'label': 'NEGATIVE', 'score': 0.7229472398757935}","{'person': 1, 'car': 2}"
2,US has a ‘Do Not Travel’ warning for 21 countries - Here's a complete list,https://www.hindustantimes.com/world-news/us-news/us-has-a-do-not-travel-warning-for-21-countries-heres-a-complete-list-101746041695405.html,US has a 'Do Not Travel' warning for 21 countries(Unsplash),"a camera, a map, and a camera","{'label': 'NEGATIVE', 'score': 0.9935206770896912}","{'label': 'POSITIVE', 'score': 0.9836108684539795}",{'bed': 1}
3,US visa waiver program: Who is eligible and how to apply?,https://www.hindustantimes.com/world-news/us-news/us-visa-waiver-program-who-is-eligible-and-how-to-apply-101746046491161.html,All you need to know about how to apply for the US visa waiver program(Unsplash),a passport and an american flag,"{'label': 'NEGATIVE', 'score': 0.997456967830658}","{'label': 'POSITIVE', 'score': 0.9550304412841797}",{}
5,"Wildfires trigger national emergency in Israel, PM Netanyahu says Jerusalem at risk",https://www.hindustantimes.com/world-news/wildfires-trigger-national-emergency-in-israel-pm-netanyahu-says-jerusalem-at-risk-101746074195649.html,"An Israeli firefighter works as forest fire is burning near Jerusalem, Wednesday, April 30, 2025. (AP)",a firefighter standing in front of a burning tree,"{'label': 'NEGATIVE', 'score': 0.9540727138519287}","{'label': 'NEGATIVE', 'score': 0.7755064964294434}",{'person': 1}
6,"Students sue Texas university, governor over Gaza protest crackdown",https://www.hindustantimes.com/world-news/students-sue-texas-university-governor-over-gaza-protest-crackdown-101746093666948.html,"Abbott, with the consent of Hartzell, ordered state police in riot gear to carry out mass arrests.(Bloomberg)",senate committee to vote on senate bill,"{'label': 'NEGATIVE', 'score': 0.9301632046699524}","{'label': 'POSITIVE', 'score': 0.9014825820922852}","{'person': 7, 'tie': 2}"
7,Israeli firefighting teams battle bushfires near Jerusalem for second day,https://www.hindustantimes.com/world-news/israeli-firefighting-teams-battle-bushfires-near-jerusalem-for-second-day-101746094155522.html,"Israeli firefighters help to extinguish a forest fire near Latrun Monastery in central Israel, on May 1, 2025. Israeli firefighting teams battled wildfires near Jerusalem for a second day on May 1, with police reporting the reopening of several major roads that had been closed. (AFP)",a man is skiing down a hill with a stick,"{'label': 'NEGATIVE', 'score': 0.9482656121253967}","{'label': 'NEGATIVE', 'score': 0.894997239112854}",{'person': 2}
8,US visa waiver program: Who is eligible and how to apply,https://www.hindustantimes.com/world-news/us-news/us-visa-waiver-program-who-is-eligible-and-how-to-apply-101746099677395.html,Citizens of 41 nations are now able to enter the US for up to 90 days without a visa application thanks to the Visa Waiver Program (VWP).(Unsplash/representative ),a visa card is seen in front of an american flag,"{'label': 'NEGATIVE', 'score': 0.9640032649040222}","{'label': 'NEGATIVE', 'score': 0.9624899625778198}",{}
9,Mike Waltz’s demotion is a loss for defence hawks,https://www.hindustantimes.com/world-news/mike-waltz-s-demotion-is-a-loss-for-defence-hawks-101746150099173.html,"President Trump appoints Secretary of State Marco Rubio as acting national security adviser, replacing Mike Waltz, who is nominated for UN ambassador amidst recent departures and controversies.(Photo by Jim WATSON / AFP)(AFP)",a man in a suit and tie speaking into a microphone,"{'label': 'NEGATIVE', 'score': 0.875974178314209}","{'label': 'NEGATIVE', 'score': 0.9266009330749512}","{'person': 1, 'tie': 1}"
10,Israeli military strikes near Syria's presidential palace to ‘protect’ Druze minorities,https://www.hindustantimes.com/world-news/israeli-military-strikes-near-syrias-presidential-palace-to-protect-druze-minorities-101746154647943.html,"An Israeli fighter jet fires a rocket as it flies over an area near the Syrian capital Damascus on April 30, 2025. Syrian state media said Israel conducted strikes on April 30, outside Damascus, where deadly sectarian clashes between security forces and local Druze fighters erupted overnight.(AFP)",a plane flying in the sky,"{'label': 'NEGATIVE', 'score': 0.9814172387123108}","{'label': 'POSITIVE', 'score': 0.9985629916191101}",{'airplane': 1}
11,"Trump admin moves to deport Indian student, ignoring federal judge's stay order",https://www.hindustantimes.com/world-news/us-news/trump-admin-moves-to-deport-indian-student-ignoring-federal-judges-stay-order-101746191091606.html,"Mapheze Saleh, right, wife of arrested and detained Georgetown University scholar Badar Khan Suri, holds a sign calling for her husband's release(AP)",a group of people holding signs in front of a building,"{'label': 'NEGATIVE', 'score': 0.6793408393859863}","{'label': 'NEGATIVE', 'score': 0.7939737439155579}","{'person': 2, 'car': 1}"
12,American man faces 53 years in prison for brutal murder of young Palestinian boy,https://www.hindustantimes.com/world-news/us-news/american-man-faces-53-years-in-prison-for-brutal-murder-of-young-palestinian-boy-101746211740175.html,Joseph Czuba killed the six year old Palestinian-American boy after reportedly getting agitated about the Gaza war.(AP),a man with a red shirt and a green shirt,"{'label': 'NEGATIVE', 'score': 0.995265007019043}","{'label': 'POSITIVE', 'score': 0.9500820636749268}",{'person': 1}
13,Who is James B. Milliken? University of Texas chancellor tapped as next president of University of California,https://www.hindustantimes.com/world-news/us-news/who-is-james-b-milliken-university-of-texas-chancellor-tapped-as-next-president-of-university-of-california-101746240973709.html,"Students walk through Sproul Plaza on the University of California, Berkeley campus on March 29, 2022, in Berkeley, Calif. (AP Photo/Eric Risberg, File)(AP)",a group of people walking around a courtyard,"{'label': 'POSITIVE', 'score': 0.9343563914299011}","{'label': 'POSITIVE', 'score': 0.9980500936508179}",{'person': 28}
14,UK police arrest seven Iranian nationals in counter-terrorism operations,https://www.hindustantimes.com/world-news/uk-police-arrest-seven-iranian-nationals-in-counter-terrorism-operations-101746341332297.html,UK police arrest seven Iranian nationals in counter-terrorism operations,a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.9556741118431091}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
15,"Watch: Panic, sirens, crater in ground after Houthi missile hits Israel's Tel Aviv airport",https://www.hindustantimes.com/world-news/watch-panic-sirens-crater-in-ground-after-houthi-missile-hits-israels-tel-aviv-airport-101746363714696.html,A missile launched from Yemen struck near Israel's main international airport on May 4(AFP),a pile of dirt,"{'label': 'NEGATIVE', 'score': 0.9703301787376404}","{'label': 'NEGATIVE', 'score': 0.999657392501831}","{'person': 5, 'car': 2}"
