id,title,url,orig_caption,gen_caption,orig_sentiment,gen_sentiment,object_counts,caption_similarity,framing_divergence
602,Hamas armed wing says still committed to truce with Israel,https://www.hindustantimes.com/world-news/hamas-armed-wing-says-still-committed-to-truce-with-israel-101741288005423.html,Hamas armed wing says still committed to truce with Israel,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.8696826100349426}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}",-0.15193164,1.1519316
577,Syria interim president seeks pressure on Israel to withdraw from south,https://www.hindustantimes.com/world-news/syria-interim-president-seeks-pressure-on-israel-to-withdraw-from-south-101741116416992.html,Syria interim president seeks pressure on Israel to withdraw from south,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9921682476997375}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}",-0.1445099,1.1445099
741,US official blames South Korea's watchlist status on mishandling of lab data,https://www.hindustantimes.com/world-news/us-news/us-official-blames-south-korea-s-watchlist-status-on-mishandling-of-lab-data-101742283809278.html,US official blames South Korea's watchlist status on mishandling of lab data,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9992859959602356}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}",-0.12732589,1.1273259
218,N. Korea says US 'Golden Dome' missile shield 'very dangerous',https://www.hindustantimes.com/world-news/us-news/n-korea-says-us-golden-dome-missile-shield-very-dangerous-101748301977615.html,N. Korea says US 'Golden Dome' missile shield 'very dangerous',a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9955428242683411}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}",-0.120263584,1.1202636
745,MI6 has never had a woman spy chief. That might change now,https://www.hindustantimes.com/world-news/mi6-has-never-had-a-woman-spy-chief-that-might-change-now-101742305288687.html,"The British foreign intelligence agency, MI6, has not had a woman chief in its 116-year history.(AP)",a large building with many windows on top of it,"{'label': 'NEGATIVE', 'score': 0.8155769109725952}","{'label': 'POSITIVE', 'score': 0.9982744455337524}",{'boat': 2},-0.11880048,1.1188005
128,Trump likely to confront South Africa's Ramaphosa over equity mandates affecting U.S. firms,https://www.hindustantimes.com/world-news/us-news/trump-likely-to-confront-south-africa-s-ramaphosa-over-equity-mandates-affecting-u-s-firms-101747782759648.html,Trump likely to confront South Africa's Ramaphosa over equity mandates affecting U.S. firms,a group of people walking around a city,"{'label': 'POSITIVE', 'score': 0.9814010858535767}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}",-0.118071444,1.1180714
809,"US gave Syria list of conditions for partial sanctions relief, sources say",https://www.hindustantimes.com/world-news/us-news/us-gave-syria-list-of-conditions-for-partial-sanctions-relief-sources-say-101742922685555.html,"US gave Syria list of conditions for partial sanctions relief, sources say",a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.983431875705719}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}",-0.11701953,1.1170195
191,'Not fair': How US students reacted to Trump's ban on international admissions at Harvard,https://www.hindustantimes.com/world-news/us-news/not-fair-how-us-students-reacted-to-trumps-ban-on-international-admissions-at-harvard-101748057275298.html,A student speaks about the Trump administration's decision to revoke the school's ability to enroll international students on the Harvard University campus.(Representative image/AP),a man wearing a plaid shirt,"{'label': 'POSITIVE', 'score': 0.9907693266868591}","{'label': 'POSITIVE', 'score': 0.6942576766014099}","{'person': 1, 'umbrella': 1}",-0.116912186,1.1169121
537,Trump's Oval Office thrashing of Zelenskyy shows limits of Western allies' ability to sway US leader,https://www.hindustantimes.com/world-news/us-news/trumps-oval-office-thrashing-of-zelenskyy-shows-limits-of-western-allies-ability-to-sway-us-leader-101740805468705.html,Trump's Oval Office thrashing of Zelenskyy shows limits of Western allies' ability to sway US leader,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9964499473571777}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}",-0.11263126,1.1126313
797,Universities Sprint from ‘We Will Not Cower’ to Appeasing Trump,https://www.hindustantimes.com/world-news/universities-sprint-from-we-will-not-cower-to-appeasing-trump-101742792070643.html,Universities Sprint from ‘We Will Not Cower’ to Appeasing Trump,a group of people walking around a park,"{'label': 'POSITIVE', 'score': 0.9955759048461914}","{'label': 'POSITIVE', 'score': 0.9928135275840759}","{'person': 17, 'handbag': 1, 'backpack': 1}",-0.10980883,1.1098088
